Country,1555,1575,1600,1640,1700,1730,1743,1750,1751,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2030
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280000,,,,,,,,,,,,,,,,,,,,3280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8150368,8284473,8425333,8573217,8728408,8891209,9061938,9240934,9428556,9624606,9829450,10043473,10267083,10500711,10744167,10997885,11262324,11537966,11825320,12122740,12430623,12749385,13079460,13421301,13772076,14132019,14501369,14880372,15269281,15555612,15112149,13812973,12881816,12934937,13387737,13796928,13856100,13867957,14076478,14511868,14669339,14871963,16317921,18371583,19900668,20881480,21559923,22227415,22912814,23646128,23898198,23997412,25268405,27060359,28513677,29928987,31056997,31889923,32738376,,,56322744
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700,,,15700,,,
Albania,,,200000,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,603000,,,,,,,,,,,,,,,,,,,,726000,,,,,,,,,,800000,,,,,,,,,,874000,,,898000,,,,,,,932000,937000,942000,947000,952000,956000,962000,967000,972000,977000,982000,988000,993000,998000,1003000,1009000,1014000,1030000,1040000,1070000,1088000,1100000,1117000,1119000,1122000,1138000,1154000,1175000,1192000,1209000,1227156,1254119,1282697,1314608,1352982,1392164,1434476,1476505,1521417,1571329,1623114,1676635,1728137,1779715,1832284,1883652,1932963,1984060,2038698,2100263,2156612,2208719,2263554,2295691,2347924,2401108,2454824,2509048,2563376,2617679,2671412,2724272,2780097,2837315,2895998,2956697,3015438,3075321,3136843,3195800,3250778,3294227,3326498,3351656,3378424,3400516,3414733,3428038,3441234,3457493,3473835,3490304,3508512,3526642,3544808,3563112,3581655,3600523,3619778,,,3987665
Algeria,,,2250000,,1750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5497000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8892718,9073304,9279525,9531710,9611093,9841851,10057133,10270856,10484925,10696396,10909294,11121645,11000948,11272878,11612858,11963091,12339140,12760499,13146267,13528304,13931846,14335388,14760787,15197724,15653200,16140252,16634618,17152804,17685768,18229932,18806061,19407036,20033753,20680982,21340546,22008450,22642538,23254956,23883858,24500650,25093154,25689444,26298373,26914091,27517041,28082573,28595073,29072015,29521270,29962690,30409300,30851518,31287142,31713719,32129324,32531853,32930091,33333216,33739635,,,41600103
American Samoa,,,,,7427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,,,,,,7300,,,,,,,,8100,,,,,,,,,,10000,,,,,,,,,,13000,,,,,,,,,,19100,19500,19300,19200,19500,19800,20100,20300,20500,20400,20000,19900,21000,23100,23200,24600,26700,25100,28100,30400,27267,27731,28202,28612,29057,29640,30272,30839,31411,31964,32418,33595,34706,35838,37092,38633,40164,41876,43623,45384,47199,48529,49872,51256,52561,53686,54690,55648,56559,57423,57301,57529,57716,57844,57902,57881,57794,57663,57496,,,49157
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176,6310,5866,5591,5503,6189,6221,6424,7103,7239,8392,8959,10317,11356,12199,13623,14380,15563,17216,18233,19545,20550,21425,23092,24807,26558,28500,29396,30321,31274,33584,37825,39940,41627,42712,44596,46476,47671,49365,50516,52837,57558,61496,64980,64877,64276,64170,64573,65147,65997,66824,67627,68403,69150,69865,70549,71201,71822,72413,,,78016
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567028,,,,,,,,,,,,,,,,,,,,1567028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738000,,,,,,,,,,4117617,4173095,4232095,4293840,4357527,4423223,4490992,4561361,4635885,4714676,4797344,4752489,4826015,4919586,5026044,5134818,5201250,5247469,5350384,5471641,5605626,5752775,5894858,6025841,5986432,5884241,5942225,6162675,6285716,6451227,6741465,6877697,7016384,7238214,7439658,7581504,7744932,7874230,8018724,8148595,8290856,8490763,8735988,8961438,9170032,9421477,9660081,9875024,10071442,10263229,10442812,10623424,10866106,11186202,11521432,11827315,12127071,12420476,12707546,,,19375631
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219,5261,5303,5345,5387,5430,5473,5516,5560,5604,5648,5690,5733,5776,5819,5863,5907,5951,5996,6041,6100,6208,6318,6430,6269,6309,6350,6390,6431,6473,6515,6557,6599,6642,6688,6912,7138,7367,7654,7998,8343,8691,9038,9382,9726,10070,10414,10760,11105,11451,11797,12132,12446,12738,13008,13254,13477,13677,13854,,,15979
