DayOfYear,75 percentile,50 percentile,25 percentile
1,49.193,21.127,8.777
2,46.47,20.869,8.581
3,45.977,20.094,8.5
4,45.953,19.617,8.532
5,46.357,19.744,8.606
6,47.448,19.651,8.568
7,48.23,19.299,8.571
8,48.529,18.909,8.59
9,49.567,18.897,8.675
10,52.336,19.129,8.699
11,53.17,19.522,8.77
12,54.645,19.872,8.79
13,54.698,19.9,8.795
14,53.519,19.814,8.854
15,52.733,19.796,8.948
16,51.173,20.138,9.105
17,49.453,20.507,9.255
18,46.759,20.748,9.42
19,44.397,20.544,9.577
20,40.57,20.177,9.754
21,38.575,19.801,9.898
22,35.808,19.475,10.038
23,33.824,19.217,10.072
24,32.495,18.875,9.966
25,30.669,18.179,9.761
26,29.326,17.06,9.525
27,28.345,16.105,9.297
28,27.846,15.378,9.071
29,27.584,14.954,8.794
30,27.512,14.52,8.494
31,27.603,14.066,8.213
32,29.068,13.747,7.984
33,31.829,13.44,7.79
34,34.463,13.281,7.617
35,36.26,13.312,7.527
36,37.525,13.348,7.455
37,38.225,13.407,7.388
38,38.569,13.478,7.296
39,38.889,13.404,7.217
40,38.975,13.403,7.173
41,38.962,13.346,7.145
42,37.669,13.271,7.083
43,35.134,13.215,7.117
44,32.634,13.133,7.157
45,30.845,12.963,7.127
46,29.479,12.881,7.058
47,28.51,12.787,6.921
48,28.01,12.661,6.783
49,27.669,12.587,6.66
50,27.229,12.587,6.532
51,26.696,12.653,6.462
52,26.756,12.716,6.392
53,26.679,12.759,6.215
54,26.687,12.73,6.132
55,26.785,12.653,6.105
56,26.946,12.598,6.125
57,27.291,12.532,6.222
58,27.375,12.603,6.387
59,27.273,12.637,6.556
60,27.185,12.581,6.736
61,27.019,12.507,6.888
62,26.326,12.464,7.053
63,26.17,12.48,7.264
64,26.625,12.508,7.422
65,26.749,12.763,7.647
66,26.841,12.953,7.847
67,26.897,13.162,8.032
68,27.037,13.206,8.222
69,27.434,13.282,8.367
70,27.752,13.433,8.503
71,28.006,13.554,8.624
72,28.318,13.677,8.754
73,28.576,13.694,8.83
74,28.35,13.7,8.872
75,28.842,13.465,8.82
76,29.285,13.397,8.774
77,30.394,13.268,8.7
78,31.192,13.154,8.587
79,31.438,13.147,8.507
80,31.562,13.253,8.432
81,31.714,13.564,8.391
