Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,472.0534996,,,,,,,,,,,,,,,,,,,,472.0534996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.3786419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.3187954,766.7521974,779.4453145,812.8562795,815.3595213,816.414838,837.0669354,820.8530296,849.7400695,856.2288434,868.4982226,857.3586549,853.10071,849.4447177,846.2672818,845.2206617,833.6140562,836.1971382,845.0799786,837.6207743,833.3159234,773.6951378,739.9811058,803.4865369,825.5800312,846.4424025,866.1924806,786.11336,827.0921548,809.0741143,810.4316249,896.8607464,978.0114388,1013.132736,994.571244,961.9241848,1030.888067,852.3959448,770.010794,751.441274,709.5049419,705.4457987,649.3413952,558.8532414,500.4494473,601.8742099,617.910636,635.341351,653.2968533,670.9872209,663.9098777,595.038741,726.7340548,785.1275711,804.7174577,874,910.3773147,1012.611695,1019.357614,1216.684872,1277.188754
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,601.2152224,,,,,,,,,,,,,,,,,,,,613.8273808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.6735719,,,,,,,,,,,,,,,,,,,,914.8106911,,,,,,,,,,1048.259228,,,,,,,,,,1194.128503,,,1240.603966,,,,,,,,,,,,,,,,1417.529606,,,,,,,,,,,,,,,,,,,,,1532.353932,1598.49275,1601.056136,1665.794737,1714.688776,1807.130587,1825.302487,1942.284244,2029.789585,2113.346606,2220.342696,2238.787437,2312.888958,2391.779616,2473.6971,2563.945574,2660.074837,2760.196931,2859.812013,2956.93736,3066.022933,3188.577281,3313.422188,3478.459169,3491.426597,3503.591742,3517.615627,3533.00391,3549.264947,3566.56881,3591.755603,3611.02554,3630.880722,3652.076174,3672.867539,3692.089631,3715.549706,3738.932735,3762.606544,3790.981701,3824.847995,2717.56829,2497.437901,2716.646193,2918.816698,3285.534735,3569.594506,3193.054604,3584.773197,3928.275138,4195.210368,4476.045166,4604.211737,4855.210024,5115.252837,5369,5635.213622,5967.015657,6399.806048,6546.26928,6741.680238
Algeria,766.2536644,,,,,,,,,,,,,,,,,,,,765.8760544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.763502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.764668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.213704,2397.531111,2449.008185,2436.33995,2557.818507,2572.474443,2764.423629,3013.976023,3059.576865,3548.416022,3716.788679,3202.96262,2550.81688,3146.57863,3214.436609,3327.99122,3070.753392,3246.991771,3519.794116,3747.744528,4003.57359,3559.349909,4182.663766,4194.603349,4320.959308,4489.034986,4642.623411,4910.416756,5373.166288,5682.033708,5610.196305,5573.379591,5745.160213,5853.656218,5986.542038,6107.181013,5876.048095,5681.358539,5415.986264,5457.745569,5244.509612,5061.303464,5023.216647,4800.317117,4652.841153,4732.433,4824.212475,4797.295051,4965.228361,5048.615566,5098.853564,5156.447405,5288.040382,5576.851564,5790.967692,6011,5969.051068,6040.887909,6175.098679,6207.169106,6319.287025
American Samoa,674.4537263,,,,,,,,,,,,,,,,,,,,674.4537263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.8047562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.14474,,,,,,,,,,,,,,,,,,,,,,,6284.325892,,,,,,,,,,,,,,,,,6497.344724,,,,,,,,,,,7776.46162,,,,9617.821726,10059.26592,,,,
Andorra,1260.123256,,,,,,,,,,,,,,,,,,,,1302.612118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856.483295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32386.85136,32191.43469,33080.00823,33951.78928,34247.09088,33016.17231,32840.79417,32632.63518,32006.04314,30833.01441,30183.8586,28684.57514,27523.35722,26568.20208,25820.29864,25465.80492,25621.53728,26576.0008,27517.71361,28281.89339,28511.18326,28091.12248,27041.01712,25514.03852,25092.4327,25063.76906,25839.06506,28057.47136,28982.13822,30144.97166,30265.94105,33293.00053,34485.48352,35925.27828,37427.60632,39002.40983,40650.37629,40489.34595,41350.39118,,
Angola,359.93,,,,,,,,,,,,,,,,,,,,359.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363.021769,3440.90139,3520.610273,3598.805544,3450.820228,3672.081573,3549.035343,3827.940465,3966.415044,3917.761174,4006.206302,4463.825923,4269.276742,4413.596399,4826.488113,5102.210214,5308.136181,5522.776375,5346.627499,5408.119396,5651.882867,5526.211396,5473.288005,5722.023726,5470.212038,3430.848722,3050.315826,3008.647355,3070.81649,3064.88794,3074.745543,2953.406726,2756.953672,2584.557046,2527.467914,2492.832132,2220.605332,2430.208311,2728.529902,2730.558884,2777.417631,2730.854238,2627.845685,1869.923753,1851.44627,1989.024681,2157.352097,2277.140884,2384.479259,2417.181021,2446.645873,2479.690229,2773.287312,2785.393957,3007.114595,3533,4069.563613,4755.460728,5228.739676,5055.586133,4987.383024
Anguilla,775.6687106,,,,,,,,,,,,,,,,,,,,775.6687106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.147531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689.456544,5475.317858,6031.553821,6214.206074,6148.684702,6318.478078,6393.506925,6391.276424,6858.385165,7507.028692,7866.618683,8151.641951,8050.178974,8015.966179,8263.64712,8975.705788,9911.093649,10604.34808,11605.74418,12220.76911,12335.01446,11709.28709,12197.8265,12770.83476,13477.41589,12888.09377,12957.80654,14096.12827,15298.76883,15611.94614,15551.72564,15678.67207,15179.26005,15300.11154,18278.82118,19478.90097,22964.77975,26971.32483,30376.81862,,
Antigua and Barbuda,538.376199,,,,,,,,,,,,,,,,,,,,538.376199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.3309899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948.938441,4138.469595,4333.744533,4597.830045,4676.114805,4382.066446,3991.804988,4319.593971,4535.035996,5105.690392,5532.031435,5882.22466,5973.220567,6453.088079,7024.111407,7693.923848,8513.743698,9474.137689,10425.2269,11211.43886,11573.56144,11751.60226,11677.35361,12036.98141,12477.54869,11650.35609,12104.52051,12387.28072,12613.15993,12826.30985,12738.74463,12770.73925,12874.34259,13346.28164,14114.0915,14579,16277.77551,17146.84943,17258.20567,15933.53115,15112.57178
Argentina,871.6252695,,,,,,,,,,,,,,,,,,,,871.6252695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.413657,1867.467953,2002.03825,1839.596792,1863.056379,1769.57308,1743.092126,2140.948911,2333.662629,2426.435037,2770.221511,2695.384053,2794.951447,3156.637637,3364.751914,2982.768041,2730.32087,3176.315407,3266.506278,3664.862775,3949.398338,4246.477423,3317.390147,3498.617911,4011.228935,3419.661928,3611.766785,3436.586789,3830.907625,4131.047124,4562.362257,4580.222856,4464.287584,4694.412985,4708.232341,4832.383347,4726.01099,4923.208483,4777.657074,4091.984842,3949.966432,3767.939429,3397.615635,3961.683426,4038.953416,4263.132851,4242.313855,4452.290181,4807.279084,5035.788573,4861.297728,4962.41598,5178.195978,5356.784882,5456.673947,5081.199522,4633.642634,4393.51848,4518.049602,4790.215524,4909.124019,4872.965364,5149.629836,5084.615599,5199.515795,5202.228574,5393.041392,5368.423104,5248.212896,5757.534492,5482.916902,5845.221938,6359.641157,6560.387518,6322.978588,6252.858599,6362.125843,5911.315053,6107.586028,6242.599448,6566.88202,6630.034401,6856.856212,7157.85635,6575.45436,6984.75572,7367.286043,7133.166023,6852.536341,7452.885451,8022.442672,7955.974182,8052.953021,8284.391228,8870.893961,9212.30291,9408.191221,9443.038526,9633.499469,9989.810115,9766.384046,9611.920559,10079.02674,9602.714509,10124.85647,10126.50131,9421.942886,8997.897412,9238.605312,9301.552359,8525.606139,9026.855746,9139.671389,8845.591444,8107.715406,7846.612519,8575.874906,9308.41871,9742.077436,10206.90178,9807.788607,10245.38281,10967.28195,11272.74873,10771.0783,10571.36362,9992.710539,8797.640716,9481.372262,10232.09685,11063,11883.0777,12784.79739,13515.17648,13498.0448,14594.75753
Armenia,502.6354898,,,,,,,,,,,,,,,,,,,,513.2203433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.006625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.721142,,,,,,,,,,,,,,,,,,,,,,,2849.086258,,,,,,,,,,,,,,,,,2809.07262,2436.614192,1442.937796,1375.723254,1498.936462,1632.305001,1731.633277,1791.34719,1928.32665,1992.959495,2114.056874,2328.459773,2692.304039,3078.901731,3413.908337,3903,4413.180252,5011.555721,5338.643924,4523.44241,4595.100894
Aruba,575.8550543,,,,,,,,,,,,,,,,,,,,575.8550543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.481351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223.842296,4567.57149,4939.758007,5344.091474,5785.94293,6270.225412,6803.639373,7390.359942,8026.343035,8701.788291,9409.562085,10133.57728,10874.91495,11672.80277,12589.72147,13681.02242,15016.42866,17674.3389,21252.4093,23845.23818,24316.96867,25167.85978,25120.54961,25277.5689,25830.4829,25359.88285,24966.42801,26483.66862,27963.77489,27962.88632,28711.442,27884.98526,26467.87062,25782.76564,26972.69512,26762.65268,26482.97224,26073.66585,25351.08695,,
