Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,28.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.211,28.358,28.651,28.947,29.246,29.547,29.852,30.161,30.475,30.796,31.126,31.468,31.824,32.195,32.58,32.976,33.381,33.79,34.201,34.613,35.031,35.462,35.91,36.373,36.845,37.314,37.769,38.197,38.589,38.941,39.252,39.522,39.764,39.984,40.19,40.387,40.581,40.773,40.962,41.145,41.316,41.464,41.582,41.668,41.723,41.752,41.758,41.754,41.754,41.772,41.825,41.929,42.087,42.301,42.568,42.88,43.225,43.584,43.943,44.296
Albania,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,54.16,54.369,54.845,55.438,56.15,56.978,57.912,58.939,60.035,61.156,62.253,63.272,64.161,64.886,65.437,65.828,66.099,66.309,66.512,66.732,66.98,67.253,67.53,67.797,68.055,68.308,68.56,68.817,69.083,69.36,69.656,69.976,70.317,70.668,71.018,71.338,71.597,71.779,71.881,71.913,71.895,71.857,71.837,71.869,71.972,72.169,72.473,72.868,73.331,73.839,74.361,74.861,75.309,75.688,75.987,76.209,76.369,76.496,76.616,76.74
Algeria,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8224,,,,,,,,,,31.22,,,,,,,,33.72,,33.72,,33.72,,,,,42.019,42.286,42.817,43.344,43.866,44.383,44.897,45.408,45.919,46.433,46.955,47.491,48.043,48.615,49.207,49.816,50.435,51.058,51.682,52.305,52.931,53.565,54.213,54.877,55.556,56.244,56.93,57.609,58.279,58.945,59.626,60.349,61.126,61.955,62.821,63.694,64.533,65.302,65.974,66.54,66.999,67.363,67.666,67.938,68.199,68.466,68.753,69.059,69.384,69.727,70.083,70.441,70.789,71.116,71.42,71.699,71.958,72.202,72.44,72.672
Angola,26.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,,,,,,,,,29.22,29.417,29.812,30.207,30.603,31.001,31.399,31.798,32.197,32.598,32.998,33.399,33.8,34.2,34.6,35,35.4,35.799,36.199,36.599,37.002,37.414,37.834,38.258,38.679,39.085,39.463,39.802,40.096,40.344,40.547,40.71,40.845,40.965,41.08,41.199,41.331,41.477,41.637,41.809,41.987,42.16,42.318,42.459,42.586,42.704,42.824,42.958,43.12,43.319,43.564,43.863,44.215,44.612,45.05,45.523,46.023,46.54,47.061,47.576
Argentina,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,33.1,,,,,32.6,,,,,34,,,,,33.3,,,,,36.8,,,,,39.7,,,,,43.5,,,,,46.2,,,,,50.2,,,,,52.6,,,,,54.3,,,,,54.3,,,,,59.1,,,,,62,,,,,61.607,61.916,62.506,63.039,63.516,63.935,64.299,64.607,64.862,65.067,65.228,65.35,65.444,65.522,65.596,65.684,65.8,65.948,66.132,66.353,66.607,66.888,67.181,67.477,67.77,68.06,68.349,68.641,68.939,69.237,69.528,69.801,70.049,70.272,70.469,70.647,70.814,70.983,71.162,71.354,71.561,71.78,72.007,72.234,72.46,72.683,72.904,73.123,73.34,73.554,73.766,73.974,74.179,74.381,74.579,74.773,74.963,75.15,75.335,75.516
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.938,62.152,62.581,63.009,63.435,63.859,64.283,64.707,65.13,65.556,65.985,66.418,66.856,67.298,67.738,68.177,68.613,69.041,69.452,69.835,70.169,70.435,70.625,70.74,70.787,70.791,70.787,70.798,70.836,70.892,70.933,70.907,70.775,70.521,70.155,69.706,69.217,68.748,68.351,68.057,67.892,67.865,67.956,68.142,68.413,68.762,69.181,69.654,70.16,70.679,71.186,71.661,72.098,72.491,72.834,73.129,73.382,73.608,73.821,74.029
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.426,58.967,60.011,60.978,61.869,62.683,63.422,64.087,64.681,65.209,65.676,66.092,66.466,66.811,67.138,67.46,67.786,68.118,68.457,68.805,69.16,69.517,69.868,70.208,70.534,70.847,71.152,71.451,71.746,72.032,72.302,72.546,72.759,72.935,73.075,73.182,73.262,73.325,73.377,73.424,73.466,73.502,73.527,73.543,73.552,73.557,73.562,73.572,73.592,73.626,73.679,73.757,73.859,73.982,74.124,74.279,74.443,74.608,74.769,74.924
Australia,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.04,62.89,61.73,62.53,63.22,62.94,62.91,62.96,63.15,64.96,65.39,65.69,65.52,64.88,65.15,65.27,65.83,65.87,65.82,66.26,66.14,65.88,66.4,68.03,68.46,67.98,68.59,68.51,69.13,69.02,68.72,69.12,69.7,69.85,70.17,70.05,70.33,70.88,70.45,70.89,71.16,70.93,70.99,70.65,70.98,70.82,71.1,70.73,71.14,70.81,71.41,71.93,72.14,71.89,72.84,72.88,73.49,73.88,74.44,74.6,74.96,74.74,75.55,76.02,75.45,76.13,76.32,76.35,76.45,77.05,77.54,77.54,78.07,78.07,78.45,78.53,78.79,79.28,79.53,79.93,80.27,80.29,80.69,81.04,81.44,81.63,81.67,81.567,81.714
Austria,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,,,,35,,,,,,,,,,37.3,,,,,,,,,,42,,40.1,,,,,,,,45.1,,,,,,,,,,,,,,,,,,,,56.452,,,,,,,,,,,,,,,,61.31,63.24,63.43,64.88,65.26,66.8,67.29,67.32,67.6,67.72,67.48,68.49,68.42,68.78,69.75,69.54,69.67,70.16,69.95,70.26,70.14,70.29,70.06,70.11,70.31,70.63,71.21,71.2,71.33,71.82,72.17,72.25,72.56,72.7,73.02,73.18,73.25,73.79,74.01,74.49,74.93,75.41,75.5,75.77,75.83,76.04,76.27,76.59,76.83,77.1,77.5,77.87,78.05,78.33,78.83,78.96,78.96,79.47,79.64,80.1,80.3,80.51,80.234
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.15,57.354,57.761,58.168,58.573,58.978,59.383,59.787,60.192,60.599,61.008,61.421,61.836,62.253,62.668,63.082,63.497,63.907,64.303,64.673,64.995,65.247,65.417,65.504,65.512,65.454,65.344,65.21,65.08,64.973,64.917,64.933,65.02,65.165,65.355,65.554,65.719,65.818,65.836,65.773,65.649,65.494,65.354,65.27,65.264,65.358,65.562,65.86,66.233,66.665,67.137,67.627,68.114,68.578,69.007,69.391,69.732,70.041,70.328,70.595
